crop,crop_year,season,state,area,production,annual_rainfall,fertilizer,pesticide,yield,production_qt,annual_rainfall_qt,fertilizer_qt,pesticide_qt,yield_qt,state_Arunachal Pradesh,state_Assam,state_Bihar,state_Chhattisgarh,state_Delhi,state_Goa,state_Gujarat,state_Haryana,state_Himachal Pradesh,state_Jammu and Kashmir,state_Jharkhand,state_Karnataka,state_Kerala,state_Madhya Pradesh,state_Maharashtra,state_Manipur,state_Meghalaya,state_Mizoram,state_Nagaland,state_Odisha,state_Puducherry,state_Punjab,state_Sikkim,state_Tamil Nadu,state_Telangana,state_Tripura,state_Uttar Pradesh,state_Uttarakhand,state_West Bengal,season_Kharif     ,season_Rabi       ,season_Summer     ,season_Whole Year ,season_Winter     ,nitrogen_mean,nitrogen_median,nitrogen_std,phosphorus_mean,phosphorus_median,phosphorus_std,potassium_mean,potassium_median,potassium_std,temperature_mean,temperature_median,temperature_std,humidity_mean,humidity_median,humidity_std,ph_mean,ph_median,ph_std,rainfall_mean,rainfall_median,rainfall_std,nitrogen_cbrt_mean,nitrogen_cbrt_median,nitrogen_cbrt_std,phosphorus_cbrt_mean,phosphorus_cbrt_median,phosphorus_cbrt_std,potassium_log1p_mean,potassium_log1p_median,potassium_log1p_std,temperature_scaled_mean,temperature_scaled_median,temperature_scaled_std,humidity_qt_mean,humidity_qt_median,humidity_qt_std,ph_cbrt_mean,ph_cbrt_median,ph_cbrt_std,rainfall_cbrt_mean,rainfall_cbrt_median,rainfall_cbrt_std,waste_max_harvest,waste_max_post-harvest,waste_max_storage,waste_mean_harvest,waste_mean_post-harvest,waste_mean_storage,waste_median_harvest,waste_median_post-harvest,waste_median_storage,waste_min_harvest,waste_min_post-harvest,waste_min_storage,waste_std_harvest,waste_std_post-harvest,waste_std_storage,post_harvest_waste_pct,log1p_production,log1p_fertilizer,log1p_pesticide,log1p_area,n_ratio,p_ratio,k_ratio,npk_balance,soil_fertility,temp_humidity_index,aridity_index,ph_optimality,crop_category,crop_cat_Fruit/Vegetable,crop_cat_Grain,crop_cat_Oil,crop_cat_Other,crop_cat_Pulse,is_kharif,is_rabi,is_summer,decade,years_since_min,effective_yield,waste_per_area
Peas & beans (pulses),2016,Kharif     ,Jammu and Kashmir,210.0,1010,902.8,32182.5,73.5,4.809523809523809,-0.7778753911477628,-0.7697613987560091,-1.2363152720583614,-1.1826693117111025,0.6440862293312933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,77.76,76.0,11.94948965564233,48.15333333333333,48.0,7.975320719776203,19.79,20.0,2.9415003386748473,22.8225800103,23.141249756666667,2.46333042527934,70.81910681076666,70.932349185,4.105259451517225,6.305283455646666,6.294055158,0.5313515252470176,125.87630486433333,126.92811567666668,13.67605132878091,4.257216638472076,4.235823584254893,0.21815305988173553,3.6267681720352303,3.6341243252753155,0.2043451604803952,3.0244730247473885,3.044522437723423,0.1425320619371636,22.8225800103,23.141249756666667,2.46333042527934,-0.25244587674849994,-0.23218583063614387,0.17768455088236623,1.8458143493348496,1.846320935346716,0.051988215744821036,4.892382093335357,4.906855613100963,0.21211880416711607,2.317772675086108,9.992500000000001,5.671498277841561,1.9150631458094145,7.150379592422501,1.3388070225794106,1.9579850746268657,7.3327762629161874,0.7864781859931113,1.2719575200918485,3.7634156142365094,0.02,0.5273569930603443,3.891070912219934,1.6940460624607563,3.421423160717278,6.918695219020472,10.379209177839046,4.310799125385514,5.351858133476067,0.5336871725652582,0.3304888929560065,0.13582393447873534,0.5992923215361503,0.5861281288135847,16.162747314467037,5.2839073185989545,0.9350944852155555,Other,False,False,False,True,False,1,0,0,2010,19,4.64496964798455,0.16455416153925956
Maize,1999,Rabi       ,Odisha,8270.0,10280,1484.3,877695.1,2232.9,1.2430471584038694,-0.07648216568824807,0.4612146045705889,-0.12630890670426606,-0.031595113949830736,0.2686797383649355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,77.76,76.0,11.94948965564233,48.44,48.5,8.010498162291832,19.79,20.0,2.9415003386748473,22.3892039102,22.84445626,2.6793596607331773,65.0922494467,65.30384518,5.4486985976651825,6.2451897224,6.2591809430000005,0.41268128727999803,84.766987663,83.471553265,15.547338717845903,4.257216638472076,4.235823584254893,0.21815305988173553,3.6339970440566445,3.6467734478436253,0.20462787949299827,3.0244730247473885,3.044522437723423,0.1425320619371636,22.3892039102,22.84445626,2.6793596607331773,-0.46939664459674135,-0.4348859871766747,0.1953967532661999,1.8406551372647169,1.8429170386186937,0.04065230633138584,4.376400473711506,4.370311157760321,0.26984960017234577,2.08,9.9925,6.0,1.86,6.75125,1.498,2.08,6.75125,0.86,1.2,3.51,0.02,0.4400000000000001,4.583819709041794,1.8445022557396265,3.36975,9.238052810542719,13.685055685138641,7.711504215869878,9.020510699691906,0.5326392218645113,0.33180354818823204,0.13555722994725664,0.601388222937644,0.5872932983728526,14.573636458357692,3.6241929391206527,0.9150632408,Grain,False,True,False,False,False,0,1,0,1990,2,1.201159576783555,0.04188758162031438
Potato,2016,Winter     ,Meghalaya,6341.0,44026,3837.1,971758.25,2219.35,6.943068916574672,0.3614357899145261,2.023292079235193,-0.08135781058671583,-0.033108472188571395,1.157906721195923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,77.76,76.0,11.94948965564233,59.10333333333333,58.5,7.632180966726305,19.79,20.0,2.9415003386748473,24.908126014133334,25.08629854666667,1.764285664420643,75.03007874469999,74.9988833,4.587325682751849,6.320620156936666,6.3217141375,0.3765601170144797,121.39558853303333,121.35670557166668,13.341285146495816,4.257216638472076,4.235823584254893,0.21815305988173553,3.8567681549063977,3.852190009927266,0.17510622210272217,3.0244730247473885,3.044522437723423,0.1425320619371636,24.908126014133334,25.08629854666667,1.764285664420643,-0.11485802436593363,-0.17726049425729687,0.23149631944074503,1.8476989250118827,1.8485864504326865,0.0366096098366771,4.890305326692549,4.895951079236746,0.1909842116457726,2.317772675086108,9.992500000000001,5.671498277841561,1.9150631458094145,7.150379592422501,1.3388070225794106,1.9579850746268657,7.3327762629161874,0.7864781859931113,1.2719575200918485,3.7634156142365094,0.02,0.5273569930603443,3.891070912219934,1.6940460624607563,3.421423160717278,10.692558361066228,13.78686336757835,7.705420120097321,8.754949455098293,0.4963826708656056,0.3772874287173376,0.12632990041705677,0.5859931341674469,0.6306348962809668,18.688586562233343,4.685618267674394,0.9402067189788887,Fruit/Vegetable,True,False,False,False,False,0,1,0,2010,19,6.705517148598425,0.23755176797624805
Ragi,2008,Autumn     ,Jharkhand,29768.73,27189,1295.2,4258119.139,2679.1857,0.9133409453476853,0.22238893525811007,0.06402672253786497,0.3865344160057441,0.03880575048691771,-0.3043315455385072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.89,80.0,11.917981491355107,47.86666666666667,47.5,7.9401432772605745,39.87,40.0,2.9461668299502297,23.255956110400003,23.438043253333333,2.2473011898255026,76.54596417483333,76.56085319,2.7618203053692674,6.3653771888933335,6.328929373,0.650021763214037,166.98562206566666,170.38467808833335,11.804763939715919,4.296092836876323,4.308794568974216,0.21718422978790072,3.619539300013816,3.621475202707005,0.20406244146779207,3.707822109322588,3.7135720667043075,0.07213909328336732,23.255956110400003,23.438043253333333,2.2473011898255026,-0.03549510890025853,-0.029485674095613017,0.15997234849853256,1.850973561404982,1.8497248320747381,0.06332412515825622,5.408363712959208,5.443400068441605,0.1543880081618864,2.317772675086108,9.992500000000001,5.671498277841561,1.9150631458094145,7.150379592422501,1.3388070225794106,1.9579850746268657,7.3327762629161874,0.7864781859931113,1.2719575200918485,3.7634156142365094,0.02,0.5273569930603443,3.891070912219934,1.6940460624607563,3.421423160717278,10.210604537626516,15.264338338927148,7.893641362149165,10.301247384435607,0.47659481387209673,0.2855552020362711,0.2378499840916322,0.7134770389224733,0.7257796004600632,17.80149583278175,6.884314157959322,0.9551257296311112,Other,False,False,False,True,False,0,0,0,2000,11,0.8820916867072455,0.031249258640439842
Castor seed,2017,Kharif     ,Madhya Pradesh,8950.0,4970,800.0,1409088.0,3401.0,0.5553072625698324,-0.29030026889456084,-1.033646823237722,0.04028694490559342,0.11301089031062858,-0.8899994549730671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,77.76,76.0,11.94948965564233,59.629999999999995,59.333333333333336,7.903778424111928,19.79,20.0,2.9415003386748473,24.051735375366665,24.377415146666667,2.2623594475503874,70.18087382483333,70.27709661666667,4.567626009622622,6.158090875013333,6.1709412805,0.3653374691265556,91.38698524203333,90.65028537666666,13.497609002963351,4.257216638472076,4.235823584254893,0.21815305988173553,3.8694809485043873,3.8734318688698255,0.18172155927702197,3.0244730247473885,3.044522437723423,0.1425320619371636,24.051735375366665,24.377415146666667,2.2623594475503874,-0.2932150542041773,-0.3000041820490883,0.19698312362025075,1.8321315624193322,1.8341316882618088,0.036227373757197624,4.486898629086832,4.486144041543761,0.22707897957196002,2.317772675086108,9.992500000000001,5.671498277841561,1.9150631458094145,7.150379592422501,1.3388070225794106,1.9579850746268657,7.3327762629161874,0.7864781859931113,1.2719575200918485,3.7634156142365094,0.02,0.5273569930603443,3.891070912219934,1.6940460624607563,3.421423160717278,8.511376306094673,14.158453954251478,8.132118772955806,9.099520536870939,0.49471942995292034,0.37937396615345464,0.12590660389362515,0.5851465411205835,0.6327755566340403,16.87971805646888,3.6479303278883437,0.8860302916711111,Other,False,False,False,True,False,1,0,0,2010,20,0.5363078512751231,0.018999411294709355
Linseed,2000,Rabi       ,Jammu and Kashmir,361.0,94,989.5,35439.37,93.86,0.26038781163434904,-1.4079051458418632,-0.5467003923959778,-1.2067231636711364,-1.1151001984566178,-1.2550595587723006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,77.76,76.0,11.94948965564233,48.15333333333333,48.0,7.975320719776203,19.79,20.0,2.9415003386748473,22.8225800103,23.141249756666667,2.46333042527934,70.81910681076666,70.932349185,4.105259451517225,6.305283455646666,6.294055158,0.5313515252470175,125.87630486433333,126.92811567666668,13.67605132878091,4.257216638472076,4.235823584254893,0.21815305988173553,3.6267681720352303,3.6341243252753155,0.20434516048039517,3.0244730247473885,3.044522437723423,0.1425320619371636,22.8225800103,23.141249756666667,2.46333042527934,-0.25244587674849994,-0.23218583063614387,0.17768455088236623,1.8458143493348496,1.846320935346716,0.051988215744821036,4.892382093335357,4.906855613100963,0.21211880416711607,2.317772675086108,9.992500000000001,5.671498277841561,1.9150631458094145,7.150379592422501,1.3388070225794106,1.9579850746268657,7.3327762629161874,0.7864781859931113,1.2719575200918485,3.7634156142365094,0.02,0.5273569930603443,3.891070912219934,1.6940460624607563,3.421423160717278,4.553876891600541,10.475606844845107,4.552402120449436,5.8916442118257715,0.5336871725652582,0.3304888929560065,0.13582393447873534,0.5992923215361503,0.5861281288135847,16.162747314467037,5.2839073185989545,0.9350944852155555,Oil,False,False,True,False,False,0,1,0,2000,3,0.25147884273940657,0.008908968894942498
Horse-gram,2007,Kharif     ,Uttarakhand,9001.0,7005,1924.3,1200733.4,1440.16,0.7782468614598378,-0.18679959537444912,0.8901723046231349,-0.008374456880152483,-0.19122896286620328,-0.41576211641820715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,79.89,80.0,11.917981491355107,47.86666666666667,47.5,7.9401432772605745,39.87,40.0,2.9461668299502297,23.255956110400003,23.438043253333333,2.2473011898255026,76.54596417483333,76.56085319,2.7618203053692674,6.3653771888933335,6.328929373,0.650021763214037,166.98562206566666,170.38467808833335,11.804763939715919,4.296092836876323,4.308794568974216,0.21718422978790072,3.619539300013816,3.621475202707005,0.20406244146779207,3.707822109322588,3.7135720667043075,0.07213909328336732,23.255956110400003,23.438043253333333,2.2473011898255026,-0.03549510890025853,-0.029485674095613017,0.15997234849853256,1.850973561404982,1.8497248320747381,0.06332412515825622,5.408363712959208,5.443400068441605,0.1543880081618864,2.317772675086108,9.992500000000001,5.671498277841561,1.9150631458094145,7.150379592422501,1.3388070225794106,1.9579850746268657,7.3327762629161874,0.7864781859931113,1.2719575200918485,3.7634156142365094,0.02,0.5273569930603443,3.891070912219934,1.6940460624607563,3.421423160717278,8.854522203757432,13.998443927562601,7.273203623839867,9.105202053852878,0.47659481387209673,0.2855552020362711,0.2378499840916322,0.7134770389224733,0.7257796004600632,17.80149583278175,6.884314157959322,0.9551257296311112,Other,False,False,False,True,False,1,0,0,2000,10,0.7516197430942956,0.0266271183655422
Maize,2018,Rabi       ,Jharkhand,5944.0,11324,1222.7,964116.8,2080.4,1.905114401076716,-0.04843121365795415,-0.043924024540264145,-0.08455246954662972,-0.05755630283214408,0.5040734385647891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,77.76,76.0,11.94948965564233,48.44,48.5,8.010498162291832,19.79,20.0,2.9415003386748473,22.3892039102,22.84445626,2.6793596607331773,65.0922494467,65.30384518,5.4486985976651825,6.2451897224,6.2591809430000005,0.41268128727999803,84.766987663,83.471553265,15.547338717845903,4.257216638472076,4.235823584254893,0.21815305988173553,3.6339970440566445,3.6467734478436253,0.20462787949299827,3.0244730247473885,3.044522437723423,0.1425320619371636,22.3892039102,22.84445626,2.6793596607331773,-0.46939664459674135,-0.4348859871766747,0.1953967532661999,1.8406551372647169,1.8429170386186937,0.04065230633138584,4.376400473711506,4.370311157760321,0.26984960017234577,2.08,9.9925,6.0,1.86,6.75125,1.498,2.08,6.75125,0.86,1.2,3.51,0.02,0.4400000000000001,4.583819709041794,1.8445022557396265,3.36975,9.334767950351235,13.778968765297098,7.640796023203759,8.690305809124883,0.5326392218645113,0.33180354818823204,0.13555722994725664,0.601388222937644,0.5872932983728526,14.573636458357692,3.6241929391206527,0.9150632408,Grain,False,True,False,False,False,0,1,0,2010,21,1.8409168085464334,0.06419759253028264
Sugarcane,1998,Whole Year ,West Bengal,26949.0,2001900,2152.5,2662561.2,7815.21,74.28476010241567,1.5122254111075697,1.0400895498007976,0.2481814777080286,0.37400783556327744,2.1968634683763444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,78.4,78.0,10.96827380689552,37.36333333333333,36.5,8.055725384261047,39.99,40.0,3.313562579716425,24.929518864433334,24.951663611666664,1.816092786749391,86.46330496130001,86.44643194666668,1.8410304486361762,6.275834656823334,6.239438765666667,0.6083388144201199,196.962414759,199.89413450000004,15.944643578706968,4.270636877591931,4.272658681697917,0.20079507761594562,3.2382612523887513,3.236893082445832,0.2862570729772124,3.710068478552919,3.7135720667043075,0.08131254312312965,24.929518864433334,24.951663611666664,1.816092786749391,0.7290446952855011,0.7731480165240789,0.3450464992128663,1.842184792599066,1.840813043112808,0.05948000043171788,5.807664279783107,5.840395305873538,0.16440216149738407,2.317772675086108,9.992500000000001,5.671498277841561,1.9150631458094145,7.150379592422501,1.3388070225794106,1.9579850746268657,7.3327762629161874,0.7864781859931113,1.2719575200918485,3.7634156142365094,0.02,0.5273569930603443,3.891070912219934,1.6940460624607563,3.421423160717278,14.509607787085134,14.79479945022929,8.963955061324834,10.201738576337144,0.5033600136968712,0.23988785686769676,0.25675212943543213,0.6599466392729243,0.6789322610003109,21.554885921139807,7.59606901264824,0.9252782189411114,Cash,False,False,False,False,False,0,0,0,1990,1,71.74316411538835,2.541595987027318
Ragi,2008,Kharif     ,Puducherry,21.0,52,1434.5875,3003.84,1.89,2.4761904761904763,-1.5509846705220798,0.39384741763566583,-1.800362585395169,-2.0754798208376757,0.4771603028164517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.98,24.0,11.761931401901231,16.93,15.5,8.357244483293245,30.59,31.0,2.9986360535780556,27.4098921723,27.385317335,1.385734451504842,94.84427180610002,94.96058145,2.6863290274659106,5.97656212619,5.990709120999999,0.2876324408982469,174.697365743,171.9999225,27.966977634819056,2.6152773949815225,2.884499140614816,0.7978316030412431,2.4901629011814506,2.493027087060108,0.4512117740212593,3.4482861798448723,3.4657359027997265,0.09645870169628264,27.4098921723,27.385317335,1.385734451504842,1.8242227679605374,1.9730150846824008,0.750619205409201,1.8142888308469687,1.8161816717329031,0.029119932151770823,5.574302174183203,5.561296870056121,0.29989206017883885,2.317772675086108,9.992500000000001,5.671498277841561,1.9150631458094145,7.150379592422501,1.3388070225794106,1.9579850746268657,7.3327762629161874,0.7864781859931113,1.2719575200918485,3.7634156142365094,0.02,0.5273569930603443,3.891070912219934,1.6940460624607563,3.421423160717278,3.970291913552122,8.007979600959418,1.0612565021243408,3.091042453358316,0.3162589928057554,0.24359712230215827,0.44014388489208633,0.7863788968824941,0.3456408901672529,25.996712633655147,6.1491738399954965,0.82552070873,Other,False,False,False,True,False,1,0,0,2000,11,2.39146952173462,0.08472095445585641
